INICIAIS	SERIE	PAC	CIS	MIO	AR	CC	EP	TEP	Autoconfianca	Acuracia	DadosRelevantes	Resumo	Diferencial	HPJustificativa	HP	Conduta	SinaisSintomas	Fisiopatologia
JPS	1	0,67	0,67	0,25	0,25	0,50	0,40	0,30	0,657	0,413	0,50	0,60	0,80	0,30	0,00	0,46	0,38	0,25
JK	1	0,58	0,83	0,50	0,33	0,42	0,50	1,00	0,514	0,575	0,50	1,00	1,00	0,30	0,50	0,50	0,25	0,75
GPN	1	0,58	0,92	0,42	0,00	0,00	0,50	0,60	0,686	0,413	0,67	0,90	0,80	0,60	0,00	0,17	0,00	0,75
JTR	1	0,83	0,75	0,58	0,42	0,33	0,50	0,90	0,657	0,600	0,83	0,90	1,00	0,60	0,50	0,46	0,13	0,75
JLA	1	0,58	0,83	0,58	0,58	0,58	0,40	1,00	0,714	0,650	0,67	0,90	0,90	0,70	0,75	0,50	0,25	0,75
JEYM	1	0,75	0,83	0,67	0,75	0,33	0,50	0,30	0,571	0,575	0,83	0,90	0,90	0,40	0,50	0,54	0,38	0,25
JC	1	0,67	0,75	0,67	0,58	0,25	0,30	0,40	0,629	0,513	0,50	1,00	0,70	0,50	0,25	0,42	0,50	0,25
GKJ	1	0,42	0,83	0,42	0,33	0,75	0,30	0,80	0,543	0,550	0,50	0,70	0,30	0,70	0,50	0,50	0,63	0,75
GMZ	1	0,67	0,50	0,33	0,17	0,25	0,50	0,30	0,571	0,388	0,67	0,90	0,50	0,30	0,00	0,21	0,38	0,50
KWF	1	0,50	0,67	0,67	0,33	0,50	0,50	0,50	0,457	0,500	0,67	0,80	0,90	0,30	0,25	0,46	0,38	0,50
BAB	1	0,33	0,83	0,33	0,08	0,83	0,40	0,30	0,543	0,450	0,50	0,90	0,50	0,30	0,25	0,42	0,38	0,25
LJZ	1	0,75	0,83	0,83	0,67	0,58	0,40	0,90	0,457	0,688	0,50	0,90	0,90	0,60	0,50	0,79	0,50	0,75
BGL	1	0,50	0,42	0,42	0,50	0,33	0,20	0,20	0,600	0,375	1,00	0,90	0,30	0,20	0,25	0,25	0,25	0,00
GP	1	0,75	0,83	0,42	0,58	0,58	0,40	1,00	0,771	0,625	0,83	0,60	1,00	0,60	0,50	0,58	0,50	0,75
KM	1	0,42	0,75	0,33	0,67	0,33	0,40	0,20	0,571	0,450	0,33	1,00	0,50	0,20	0,25	0,38	0,63	0,25
